# R (a.u.)            X(1)1Sigma+         A(2)1Sigma+         (3)1Sigma+          (4)1Sigma+          (5)1Sigma+          (6)1Sigma+          (7)1Sigma+          (1)1Pi              (2)1Pi              (3)1Pi              (4)1Pi              (5)1Pi              b(1)3Pi
  0.664774904580E+01 -0.150199351416E+04  0.532641136695E+03  0.124175946600E+04  0.322590161433E+04  0.901136747369E+03  0.261529083544E+04  0.256313694519E+04  0.156682929456E+04  0.240317910070E+04  0.210280894134E+04  0.130472287758E+04  0.817373256371E+03 -0.478567478954E+04
  0.667271523490E+01 -0.158046303485E+04  0.375528839248E+03  0.114684347293E+04  0.310308849788E+04  0.781714338798E+03  0.248722201248E+04  0.243772096805E+04  0.147309500957E+04  0.231978421524E+04  0.200975205953E+04  0.122161503655E+04  0.697360631575E+03 -0.485332783560E+04
  0.669768147188E+01 -0.165702290955E+04  0.222456794865E+03  0.105371919518E+04  0.298326586576E+04  0.664704784686E+03  0.236137851358E+04  0.231472232778E+04  0.138138549961E+04  0.223809211702E+04  0.191936781952E+04  0.114034123478E+04  0.579780765902E+03 -0.491914222108E+04
  0.672264775256E+01 -0.173350114216E+04  0.733049893432E+02  0.962329746120E+03  0.286635858516E+04  0.550050658815E+03  0.223771479391E+04  0.219409326365E+04  0.129164471315E+04  0.215800168248E+04  0.183158584598E+04  0.106082520691E+04  0.464568467873E+03 -0.498314818497E+04
  0.674761407127E+01 -0.180892810888E+04 -0.720290548575E+02  0.872623734159E+03  0.275229542754E+04  0.437698798951E+03  0.211618850044E+04  0.207578954277E+04  0.120383478319E+04  0.207944371232E+04  0.174634924138E+04  0.983013007614E+03  0.351675326479E+03 -0.504536755907E+04
  0.677258042077E+01 -0.188079337254E+04 -0.213578796947E+03  0.784551580920E+03  0.264100645340E+04  0.327597450802E+03  0.199675833523E+04  0.195976809789E+04  0.111792383808E+04  0.200235953072E+04  0.166360555160E+04  0.906858049563E+03  0.241058463968E+03 -0.510579796665E+04
  0.679754679227E+01 -0.195059024214E+04 -0.351644355310E+03  0.698063712177E+03  0.253242172692E+04  0.219694864555E+03  0.187938300545E+04  0.184598586646E+04  0.103388001250E+04  0.192669047083E+04  0.158330232682E+04  0.832313752237E+03  0.132675009661E+03 -0.516455171991E+04
  0.682251317545E+01 -0.201919768761E+04 -0.486123886393E+03  0.613111343736E+03  0.242647179242E+04  0.113939878268E+03  0.176402170691E+04  0.173439985703E+04  0.951671443423E+03  0.185237786804E+04  0.150538711829E+04  0.759333537074E+03  0.264820960150E+02 -0.522157118906E+04
  0.684747955843E+01 -0.208620094091E+04 -0.617225922770E+03  0.529649929739E+03  0.232308976665E+04  0.102844787561E+02  0.165063624657E+04  0.162496744493E+04  0.871266269575E+03  0.177936305984E+04  0.142980747775E+04  0.687870827166E+03 -0.775631418876E+02 -0.527693781564E+04
  0.687244592781E+01 -0.215128277290E+04 -0.744957446726E+03  0.447636344840E+03  0.222220962853E+04 -0.913182915044E+02  0.153918930758E+04  0.151764612979E+04  0.792632631077E+03  0.170758738563E+04  0.135651095697E+04  0.617879047012E+03 -0.179503566807E+03 -0.533064269046E+04
  0.689741226863E+01 -0.221526448364E+04 -0.869520681474E+03  0.367027466684E+03  0.212376535843E+04 -0.190915387440E+03  0.142964357640E+04  0.141239341338E+04  0.715738669050E+03  0.163699218668E+04  0.128544510730E+04  0.549311622293E+03 -0.279382039772E+03 -0.538276867359E+04
  0.692237856438E+01 -0.227926850315E+04 -0.990998716631E+03  0.287782316239E+03  0.202769273472E+04 -0.288552009562E+03  0.132196288307E+04  0.130916801145E+04  0.640553055683E+03  0.156752235862E+04  0.121655714934E+04  0.482123437930E+03 -0.377240566991E+03 -0.543334496370E+04
  0.694734479701E+01 -0.234106002855E+04 -0.110946126073E+04  0.209871628896E+03  0.193393736753E+04 -0.384263769862E+03  0.121611730163E+04  0.120793527157E+04  0.567047364583E+03  0.149914222898E+04  0.114979249767E+04  0.416277355241E+03 -0.473116485725E+03 -0.548239866390E+04
  0.697231094695E+01 -0.240006694415E+04 -0.122493433512E+04  0.133270125487E+03  0.184244821096E+04 -0.478083018440E+03  0.111207903090E+04  0.110866279759E+04  0.495194156127E+03  0.143182273603E+04  0.108509595161E+04  0.351738949084E+03 -0.567045544826E+03 -0.552994249160E+04
  0.699727699304E+01 -0.245787364350E+04 -0.133757585993E+04  0.579525311686E+02  0.175317422122E+04 -0.570042102343E+03  0.100982027263E+04  0.101131819568E+04  0.424965991177E+03  0.136553482485E+04  0.102241230837E+04  0.288473797029E+03 -0.659063491587E+03 -0.557604040801E+04
  0.702224291263E+01 -0.251410776584E+04 -0.144739080280E+04 -0.161064280774E+02  0.166606435364E+04 -0.660173368597E+03  0.909313229369E+03  0.915869072120E+03  0.356335734999E+03  0.130025035717E+04  0.961686571323E+03  0.226448043391E+03 -0.749205724797E+03 -0.562069914843E+04
  0.704720868235E+01 -0.256910859666E+04 -0.155454897619E+04 -0.889320281002E+02  0.158106755952E+04 -0.748509167496E+03  0.810530100863E+03  0.822283029840E+03  0.289277945903E+03  0.123594628407E+04  0.902864896026E+03  0.165630980283E+03 -0.837505708291E+03 -0.566398914737E+04
  0.707217428295E+01 -0.262405125704E+04 -0.165910399048E+04 -0.160549560137E+03  0.149813277060E+04 -0.835081868982E+03  0.713443065548E+03  0.730527651012E+03  0.223767752753E+03  0.117260130260E+04  0.845893823142E+03  0.105992975124E+03 -0.923996255834E+03 -0.570593689454E+04
  0.709713970095E+01 -0.267713514402E+04 -0.176106925484E+04 -0.230984334242E+03  0.141720889592E+04 -0.919923866506E+03  0.618024275944E+03  0.640570492930E+03  0.159780266619E+03  0.111019409507E+04  0.790719877648E+03  0.475043805717E+02 -0.100871020415E+04 -0.574655155967E+04
